referrer,views_total,views_unique
Google,21,10
github.com,12,5
Bing,4,2
DuckDuckGo,2,2
edepot.wur.nl,2,2
ecosia.org,1,1
forum.qiime2.org,1,1
statics.teams.cdn.office.net,1,1
