url_path,views_total,views_unique
/ErnakovichLab/dada2_ernakovichlab,70,19
/ErnakovichLab/dada2_ernakovichlab/tree/github-repo-stats/ErnakovichLab/dada2_ernakovichlab,11,2
/ErnakovichLab/dada2_ernakovichlab/blob/main/R/06_remove_chimeras_assign_taxonomy_dada2_tutorial_16S.R,8,1
/ErnakovichLab/dada2_ernakovichlab/blob/github-repo-stats/ErnakovichLab/dada2_ernakovichlab/latest-report/report.pdf,6,2
/ErnakovichLab/dada2_ernakovichlab/tree/github-repo-stats,6,2
/ErnakovichLab/dada2_ernakovichlab/tree/github-repo-stats/ErnakovichLab/dada2_ernakovichlab/latest-report,6,2
/ErnakovichLab/dada2_ernakovichlab/tree/main/R,5,2
/ErnakovichLab/dada2_ernakovichlab/tree/main/.github/workflows,4,1
/ErnakovichLab/dada2_ernakovichlab/blob/main/dada2_tutorial_16S_all.md,2,1
/ErnakovichLab/dada2_ernakovichlab/blob/main/.github/workflows/github-repo-stats.yml,2,1
