time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-10-23 00:00:00+00:00,1.0,1.0,18.0,8.0
2024-10-24 00:00:00+00:00,,,5.0,4.0
2024-10-25 00:00:00+00:00,,,3.0,2.0
2024-10-27 00:00:00+00:00,,,10.0,2.0
2024-10-28 00:00:00+00:00,,,18.0,6.0
2024-10-29 00:00:00+00:00,,,4.0,2.0
2024-10-30 00:00:00+00:00,,,14.0,5.0
2024-10-31 00:00:00+00:00,1.0,1.0,3.0,3.0
2024-11-01 00:00:00+00:00,,,2.0,1.0
2024-11-03 00:00:00+00:00,1.0,1.0,,
2024-11-04 00:00:00+00:00,2.0,2.0,12.0,3.0
2024-11-05 00:00:00+00:00,,,11.0,8.0
