url_path,views_total,views_unique
/ErnakovichLab/dada2_ernakovichlab,51,38
/ErnakovichLab/dada2_ernakovichlab/tree/main/R,15,6
/ErnakovichLab/dada2_ernakovichlab/tree/main,13,4
/ErnakovichLab/dada2_ernakovichlab/activity,10,1
/ErnakovichLab/dada2_ernakovichlab/blob/main/R/00_setup_dada2_tutorial_16S.R,9,3
/ErnakovichLab/dada2_ernakovichlab/blob/main/dada2_tutorial_16S_all.Rmd,5,4
/ErnakovichLab/dada2_ernakovichlab/tree/main/dada2_tutorial_16S_all_files/figure-gfm,4,3
/ErnakovichLab/dada2_ernakovichlab/tree/main/.github/workflows,4,2
/ErnakovichLab/dada2_ernakovichlab/blob/main/R/00_install_dada2_tutorial_16S.R,3,3
/ErnakovichLab/dada2_ernakovichlab/blob/main/.github/workflows/github-repo-stats.yml,3,2
