time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-03-11 00:00:00+00:00,8,4,9,5
2026-03-12 00:00:00+00:00,10,6,11,7
2026-03-13 00:00:00+00:00,6,2,6,3
2026-03-14 00:00:00+00:00,3,3,0,0
2026-03-15 00:00:00+00:00,17,9,9,1
2026-03-16 00:00:00+00:00,4,4,4,4
2026-03-17 00:00:00+00:00,7,3,1,1
2026-03-18 00:00:00+00:00,7,3,4,2
2026-03-19 00:00:00+00:00,7,3,7,5
2026-03-20 00:00:00+00:00,12,4,8,5
2026-03-21 00:00:00+00:00,7,3,2,2
2026-03-22 00:00:00+00:00,7,3,4,3
2026-03-23 00:00:00+00:00,10,6,8,5
2026-03-24 00:00:00+00:00,10,6,20,8
