time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-09-26 00:00:00+00:00,2,2,17.0,9.0
2023-09-27 00:00:00+00:00,1,1,1.0,1.0
2023-09-28 00:00:00+00:00,10,2,4.0,3.0
2023-09-29 00:00:00+00:00,1,1,2.0,1.0
2023-09-30 00:00:00+00:00,3,2,,
2023-10-01 00:00:00+00:00,1,1,2.0,2.0
2023-10-02 00:00:00+00:00,2,2,,
2023-10-03 00:00:00+00:00,1,1,5.0,3.0
2023-10-04 00:00:00+00:00,1,1,3.0,2.0
2023-10-05 00:00:00+00:00,1,1,10.0,4.0
2023-10-06 00:00:00+00:00,1,1,4.0,1.0
2023-10-07 00:00:00+00:00,9,2,2.0,2.0
2023-10-08 00:00:00+00:00,1,1,2.0,1.0
2023-10-09 00:00:00+00:00,1,1,3.0,1.0
