time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-06-23 00:00:00+00:00,4,4,6.0,5.0
2025-06-24 00:00:00+00:00,1,1,14.0,7.0
2025-06-25 00:00:00+00:00,1,1,17.0,6.0
2025-06-26 00:00:00+00:00,4,4,17.0,4.0
2025-06-27 00:00:00+00:00,1,1,6.0,2.0
2025-06-28 00:00:00+00:00,4,4,,
2025-06-29 00:00:00+00:00,1,1,1.0,1.0
2025-06-30 00:00:00+00:00,1,1,10.0,3.0
2025-07-01 00:00:00+00:00,6,6,12.0,4.0
2025-07-02 00:00:00+00:00,1,1,15.0,6.0
2025-07-03 00:00:00+00:00,2,2,13.0,4.0
2025-07-04 00:00:00+00:00,5,5,3.0,2.0
2025-07-05 00:00:00+00:00,1,1,2.0,1.0
2025-07-06 00:00:00+00:00,3,3,1.0,1.0
