url_path,views_total,views_unique
/ErnakovichLab/dada2_ernakovichlab,55,14
/ErnakovichLab/dada2_ernakovichlab/issues,24,1
/ErnakovichLab/dada2_ernakovichlab/tree/split_for_premise,22,3
/ErnakovichLab/dada2_ernakovichlab/tree/github-repo-stats/ErnakovichLab/dada2_ernakovichlab,11,1
/ErnakovichLab/dada2_ernakovichlab/blob/github-repo-stats/ErnakovichLab/dada2_ernakovichlab/latest-report/report.pdf,10,1
/ErnakovichLab/dada2_ernakovichlab/tree/github-repo-stats/ErnakovichLab/dada2_ernakovichlab/latest-report,10,1
/ErnakovichLab/dada2_ernakovichlab/tree/github-repo-stats,7,1
/ErnakovichLab/dada2_ernakovichlab/tree/main/.github/workflows,6,1
/ErnakovichLab/dada2_ernakovichlab/issues/10,4,1
/ErnakovichLab/dada2_ernakovichlab/issues/14,4,1
