time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-26 00:00:00+00:00,22,7,2,2
2026-08-27 00:00:00+00:00,11,4,0,0
2026-08-28 00:00:00+00:00,2,2,2,2
2026-08-29 00:00:00+00:00,3,3,2,2
2026-08-30 00:00:00+00:00,3,3,0,0
2026-08-31 00:00:00+00:00,96,81,1,1
2026-09-01 00:00:00+00:00,2,2,1,1
2026-09-02 00:00:00+00:00,10,3,6,2
2026-09-03 00:00:00+00:00,1,1,1,1
2026-09-04 00:00:00+00:00,4,3,2,1
2026-09-05 00:00:00+00:00,3,2,0,0
2026-09-06 00:00:00+00:00,3,2,7,2
2026-09-07 00:00:00+00:00,19,8,5,2
2026-09-08 00:00:00+00:00,4,4,3,1
