time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-02-26 00:00:00+00:00,6,3,28.0,10.0
2025-02-27 00:00:00+00:00,2,2,16.0,8.0
2025-02-28 00:00:00+00:00,4,2,4.0,3.0
2025-03-01 00:00:00+00:00,4,2,6.0,4.0
2025-03-02 00:00:00+00:00,6,3,4.0,3.0
2025-03-03 00:00:00+00:00,1,1,8.0,6.0
2025-03-04 00:00:00+00:00,1,1,10.0,8.0
2025-03-05 00:00:00+00:00,5,3,8.0,7.0
2025-03-06 00:00:00+00:00,2,2,12.0,7.0
2025-03-07 00:00:00+00:00,4,3,11.0,8.0
2025-03-08 00:00:00+00:00,6,3,,
2025-03-09 00:00:00+00:00,4,2,1.0,1.0
2025-03-10 00:00:00+00:00,5,3,11.0,6.0
2025-03-11 00:00:00+00:00,2,2,2.0,2.0
