time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-02-14 00:00:00+00:00,3,2,7.0,6.0
2025-02-15 00:00:00+00:00,3,2,10.0,2.0
2025-02-16 00:00:00+00:00,5,2,6.0,3.0
2025-02-17 00:00:00+00:00,5,2,6.0,3.0
2025-02-18 00:00:00+00:00,2,2,10.0,6.0
2025-02-19 00:00:00+00:00,4,2,13.0,3.0
2025-02-20 00:00:00+00:00,5,2,9.0,7.0
2025-02-21 00:00:00+00:00,1,1,8.0,4.0
2025-02-22 00:00:00+00:00,4,2,,
2025-02-23 00:00:00+00:00,4,2,27.0,3.0
2025-02-24 00:00:00+00:00,1,1,13.0,1.0
2025-02-25 00:00:00+00:00,4,2,8.0,5.0
2025-02-26 00:00:00+00:00,6,3,28.0,10.0
2025-02-27 00:00:00+00:00,1,1,11.0,7.0
