time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-05-26 00:00:00+00:00,5,2,1,1
2024-05-27 00:00:00+00:00,1,1,3,3
2024-05-28 00:00:00+00:00,1,1,6,3
2024-05-29 00:00:00+00:00,5,2,16,5
2024-05-30 00:00:00+00:00,1,1,3,3
2024-05-31 00:00:00+00:00,1,1,2,2
2024-06-01 00:00:00+00:00,5,2,1,1
2024-06-02 00:00:00+00:00,5,2,7,2
2024-06-03 00:00:00+00:00,2,2,5,4
2024-06-04 00:00:00+00:00,1,1,3,3
2024-06-05 00:00:00+00:00,5,2,12,4
2024-06-06 00:00:00+00:00,1,1,7,4
2024-06-07 00:00:00+00:00,5,2,7,7
2024-06-08 00:00:00+00:00,1,1,4,3
