url_path,views_total,views_unique
/ErnakovichLab/dada2_ernakovichlab,38,13
/ErnakovichLab/dada2_ernakovichlab/tree/split_for_premise,34,7
/ErnakovichLab/dada2_ernakovichlab/issues,20,1
/ErnakovichLab/dada2_ernakovichlab/issues/10,4,1
/ErnakovichLab/dada2_ernakovichlab/issues/14,4,1
/ErnakovichLab/dada2_ernakovichlab/tree/github-repo-stats/ErnakovichLab/dada2_ernakovichlab,4,1
/ErnakovichLab/dada2_ernakovichlab/actions,3,1
/ErnakovichLab/dada2_ernakovichlab/commits,3,1
/ErnakovichLab/dada2_ernakovichlab/issues/5,3,1
/ErnakovichLab/dada2_ernakovichlab/issues/6,3,1
