time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-09-17 00:00:00+00:00,1.0,1.0,10,5
2024-09-18 00:00:00+00:00,1.0,1.0,47,8
2024-09-19 00:00:00+00:00,4.0,1.0,5,3
2024-09-20 00:00:00+00:00,3.0,1.0,6,5
2024-09-21 00:00:00+00:00,2.0,1.0,3,2
2024-09-22 00:00:00+00:00,,,22,3
2024-09-23 00:00:00+00:00,,,5,2
2024-09-24 00:00:00+00:00,4.0,1.0,7,6
2024-09-25 00:00:00+00:00,,,9,5
2024-09-26 00:00:00+00:00,,,15,6
2024-09-27 00:00:00+00:00,,,17,8
2024-09-28 00:00:00+00:00,,,4,4
2024-09-29 00:00:00+00:00,2.0,1.0,7,3
2024-09-30 00:00:00+00:00,,,11,8
