url_path,views_total,views_unique
/ErnakovichLab/dada2_ernakovichlab/tree/split_for_premise,34,7
/ErnakovichLab/dada2_ernakovichlab,29,11
/ErnakovichLab/dada2_ernakovichlab/issues,6,1
/ErnakovichLab/dada2_ernakovichlab/tree/github-repo-stats/ErnakovichLab/dada2_ernakovichlab,4,1
/ErnakovichLab/dada2_ernakovichlab/actions,3,1
/ErnakovichLab/dada2_ernakovichlab/commits,3,1
/ErnakovichLab/dada2_ernakovichlab/issues/10,3,1
/ErnakovichLab/dada2_ernakovichlab/actions/workflows/github-repo-stats.yml,2,1
/ErnakovichLab/dada2_ernakovichlab/blob/github-repo-stats/ErnakovichLab/dada2_ernakovichlab/latest-report/report.pdf,2,1
/ErnakovichLab/dada2_ernakovichlab/blob/main/R/05_infer_ASVs_dada2_tutorial_16S.R,2,1
