time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-10-07 00:00:00+00:00,1.0,1.0,4,3
2024-10-08 00:00:00+00:00,3.0,1.0,57,6
2024-10-09 00:00:00+00:00,,,9,6
2024-10-10 00:00:00+00:00,,,14,8
2024-10-11 00:00:00+00:00,,,8,6
2024-10-12 00:00:00+00:00,2.0,1.0,1,1
2024-10-13 00:00:00+00:00,,,2,2
2024-10-14 00:00:00+00:00,,,9,7
2024-10-15 00:00:00+00:00,,,4,4
2024-10-16 00:00:00+00:00,1.0,1.0,13,4
2024-10-17 00:00:00+00:00,,,10,6
2024-10-18 00:00:00+00:00,,,38,7
2024-10-19 00:00:00+00:00,,,3,1
