time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-11-07 00:00:00+00:00,1,1,17,5
2023-11-08 00:00:00+00:00,1,1,22,7
2023-11-09 00:00:00+00:00,1,1,6,3
2023-11-10 00:00:00+00:00,1,1,6,4
2023-11-11 00:00:00+00:00,1,1,1,1
2023-11-12 00:00:00+00:00,1,1,2,1
2023-11-13 00:00:00+00:00,2,2,5,4
2023-11-14 00:00:00+00:00,1,1,21,9
2023-11-15 00:00:00+00:00,3,2,23,6
2023-11-16 00:00:00+00:00,2,2,11,7
2023-11-17 00:00:00+00:00,1,1,14,5
2023-11-18 00:00:00+00:00,1,1,1,1
2023-11-19 00:00:00+00:00,1,1,3,2
2023-11-20 00:00:00+00:00,1,1,10,4
